Kabupaten/Kota,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Bogor,198711,1091,50206,1513233,1763241
Sukabumi,46152,498,20496,486781,553927
Cianjur,42856,626,19233,431472,494187
Bandung,133007,1023,38026,975892,1147948
Garut,39787,909,16475,403226,460397
Tasikmalaya,24984,653,11203,299419,336259
Ciamis,25541,831,11544,247576,285492
Kuningan,30168,568,9084,313928,353748
Cirebon,59374,1403,24531,675009,760317
Majalengka,26935,848,11850,333073,372706
Sumedang,27481,341,9923,290947,328692
Indramayu,40876,801,17308,476930,535915
Subang,35873,442,12521,407182,456018
Purwakarta,35396,337,10966,270523,317222
Karawang,103647,1441,30648,761919,897655
Bekasi,241387,3696,62313,1268448,1575844
Bandung Barat,74820,546,21732,561092,658190
Pangandaran,7676,54,4290,77996,90016
Kota Bogor,96220,634,11663,372957,481474
Kota Sukabumi,19741,439,4920,97853,122953
Kota Bandung,373871,5918,64138,1099590,1543517
Kota Cirebon,30541,434,12076,130179,173230
Kota Bekasi,311207,2606,54344,1145967,1514124
Kota Depok,206405,841,19682,973220,1200148
Kota Cimahi,47823,243,6491,240895,295452
Kota Tasikmalaya,30412,1227,12614,205759,250012
Kota Banjar,6288,61,2428,58452,67229
Jawa Barat,2317179,28511,570705,14119518,17035913
