Kabupaten/Kota,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Pacitan,30702,509,6145,187184,224540
Ponorogo,100202,1854,26627,472695,601378
Trenggalek,241151,620,31557,311129,584457
Tulungagung,163417,2455,40450,689732,896054
Blitar,134063,3271,49477,493701,680512
Kediri,203007,1631,46948,771741,1023327
Malang,223635,3281,74568,1108636,1410120
Lumajang,135692,632,63411,325250,524985
Jember,236640,767,38349,725747,1001503
Banyuwangi,336854,534,49775,756029,1143192
Bondowoso,54267,204,34031,184105,272607
Situbondo,108483,373,14510,199995,323361
Probolinggo,65698,669,18502,272224,357093
Pasuruan,140488,785,27478,467988,636739
Sidoarjo,207376,1822,69853,1423157,1702208
Mojokerto,46882,893,78772,483993,610540
Jombang,50691,936,45075,608569,705271
Nganjuk,121008,1572,37302,552537,712419
Madiun,430329,568,26885,345211,802993
Magetan,201597,1091,23557,375980,602225
Ngawi,226960,1191,24440,413826,666417
Bojonegoro,38136,1319,24753,512334,576542
Tuban,37315,648,32908,519999,590870
Lamongan,36811,1305,33260,555884,627260
Gresik,78863,841,43657,727397,850758
Bangkalan,168945,1745,37982,245175,453847
Sampang,118937,1117,17471,140363,277888
Pamekasan,186705,1888,20929,269486,479008
Sumenep,78154,287,20414,256780,355635
Kota Kediri,71311,1497,13948,337697,424453
Kota Blitar,44864,294,12137,290994,348289
Kota Malang,275852,936,22000,535090,833878
Kota Probolinggo,104955,539,9140,175288,289922
Kota Pasuruan,93187,549,7416,249840,350992
Kota Mojokerto,21647,295,8158,208970,239070
Kota Madiun,51821,1102,6855,217555,277333
Kota Surabaya,588333,4033,179118,3034754,3806238
Kota Batu,86042,242,8797,168249,263330
Jawa Timur,5541020,44295,1326655,19615284,26527254
