nama_provinsi,daerah,indeks_kualitas_udara,tahun,Mobil,Bus,Truk,Sepeda Motor,Jumlah,Perusahaan,Jumlah Tenaga Kerja
JAWA TIMUR,Pacitan,92.06,2024,30702.0,509.0,6145.0,187184.0,224540.0,17,2603
JAWA TIMUR,Ponorogo,94.09,2024,100202.0,1854.0,26627.0,472695.0,601378.0,34,1955
JAWA TIMUR,Trenggalek,94.84,2024,241151.0,620.0,31557.0,311129.0,584457.0,46,1860
JAWA TIMUR,Tulungagung,91.42,2024,163417.0,2455.0,40450.0,689732.0,896054.0,188,11715
JAWA TIMUR,Blitar,88.06,2024,134063.0,3271.0,49477.0,493701.0,680512.0,81,3170
JAWA TIMUR,Kediri,94.31,2024,203007.0,1631.0,46948.0,771741.0,1023327.0,122,15681
JAWA TIMUR,Malang,91.14,2024,223635.0,3281.0,74568.0,1108636.0,1410120.0,267,53320
JAWA TIMUR,Lumajang,92.07,2024,135692.0,632.0,63411.0,325250.0,524985.0,85,12600
JAWA TIMUR,Jember,92.37,2024,236640.0,767.0,38349.0,725747.0,1001503.0,176,43031
JAWA TIMUR,Banyuwangi,87.02,2024,336854.0,534.0,49775.0,756029.0,1143192.0,280,22085
JAWA TIMUR,Bondowoso,91.22,2024,54267.0,204.0,34031.0,184105.0,272607.0,81,10319
JAWA TIMUR,Situbondo,86.61,2024,108483.0,373.0,14510.0,199995.0,323361.0,97,8642
JAWA TIMUR,Probolinggo,88.71,2024,65698.0,669.0,18502.0,272224.0,357093.0,64,12737
JAWA TIMUR,Pasuruan,80.52,2024,140488.0,785.0,27478.0,467988.0,636739.0,811,114893
JAWA TIMUR,Sidoarjo,71.91,2024,207376.0,1822.0,69853.0,1423157.0,1702208.0,978,181703
JAWA TIMUR,Mojokerto,84.76,2024,46882.0,893.0,78772.0,483993.0,610540.0,270,45191
JAWA TIMUR,Jombang,86.04,2024,50691.0,936.0,45075.0,608569.0,705271.0,161,31554
JAWA TIMUR,Nganjuk,88.18,2024,121008.0,1572.0,37302.0,552537.0,712419.0,45,5790
JAWA TIMUR,Madiun,91.61,2024,430329.0,568.0,26885.0,345211.0,802993.0,24,2846
JAWA TIMUR,Magetan,93.82,2024,201597.0,1091.0,23557.0,375980.0,602225.0,37,3100
JAWA TIMUR,Ngawi,81.71,2024,226960.0,1191.0,24440.0,413826.0,666417.0,27,5013
JAWA TIMUR,Bojonegoro,89.05,2024,38136.0,1319.0,24753.0,512334.0,576542.0,88,8989
JAWA TIMUR,Tuban,89.89,2024,37315.0,648.0,32908.0,519999.0,590870.0,199,14240
JAWA TIMUR,Lamongan,81.41,2024,36811.0,1305.0,33260.0,555884.0,627260.0,150,13749
JAWA TIMUR,Gresik,82.94,2024,78863.0,841.0,43657.0,727397.0,850758.0,603,93942
