id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_predikat,nilai_indeks,satuan,tahun_data,tahun_pengukuran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SANGAT BAIK,90.53,POIN,2022,2023
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAIK,78.21,POIN,2022,2023
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KURANG,35.0,POIN,2022,2023
4,32,JAWA BARAT,3204,KABUPATEN GARUT,BAIK,68.76,POIN,2022,2023
5,32,JAWA BARAT,3205,KABUPATEN BANDUNG,BAIK,65.0,POIN,2022,2023
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CUKUP,62.39,POIN,2022,2023
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAIK,67.25,POIN,2022,2023
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KURANG,32.51,POIN,2022,2023
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAIK,65.0,POIN,2022,2023
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KURANG,49.85,POIN,2022,2023
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KURANG,46.9,POIN,2022,2023
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CUKUP,62.03,POIN,2022,2023
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAIK,72.0,POIN,2022,2023
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CUKUP,50.0,POIN,2022,2023
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CUKUP,60.26,POIN,2022,2023
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAIK,77.16,POIN,2022,2023
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CUKUP,60.47,POIN,2022,2023
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,0.0,POIN,2022,2023
19,32,JAWA BARAT,3271,KOTA BOGOR,BAIK,65.0,POIN,2022,2023
20,32,JAWA BARAT,3272,KOTA SUKABUMI,BAIK,65.0,POIN,2022,2023
21,32,JAWA BARAT,3273,KOTA BANDUNG,KURANG,17.77,POIN,2022,2023
22,32,JAWA BARAT,3274,KOTA CIREBON,BAIK,67.07,POIN,2022,2023
23,32,JAWA BARAT,3275,KOTA BEKASI,SANGAT BAIK,81.27,POIN,2022,2023
24,32,JAWA BARAT,3276,KOTA DEPOK,BAIK,77.85,POIN,2022,2023
25,32,JAWA BARAT,3277,KOTA CIMAHI,SANGAT BAIK,81.27,POIN,2022,2023
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,0.0,POIN,2022,2023
27,32,JAWA BARAT,3279,KOTA BANJAR,BAIK,65.0,POIN,2022,2023
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,SANGAT BAIK,90.53,POIN,2023,2024
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAIK,78.21,POIN,2023,2024
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KURANG,86.32,POIN,2023,2024
31,32,JAWA BARAT,3204,KABUPATEN GARUT,BAIK,68.76,POIN,2023,2024
32,32,JAWA BARAT,3205,KABUPATEN BANDUNG,BAIK,65.0,POIN,2023,2024
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CUKUP,62.39,POIN,2023,2024
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAIK,67.25,POIN,2023,2024
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KURANG,65.81,POIN,2023,2024
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAIK,65.0,POIN,2023,2024
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KURANG,49.85,POIN,2023,2024
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KURANG,75.16,POIN,2023,2024
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CUKUP,63.59,POIN,2023,2024
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAIK,72.0,POIN,2023,2024
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CUKUP,66.33,POIN,2023,2024
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CUKUP,60.26,POIN,2023,2024
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAIK,77.16,POIN,2023,2024
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CUKUP,75.55,POIN,2023,2024
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,67.73,POIN,2023,2024
46,32,JAWA BARAT,3271,KOTA BOGOR,BAIK,65.0,POIN,2023,2024
47,32,JAWA BARAT,3272,KOTA SUKABUMI,BAIK,65.0,POIN,2023,2024
48,32,JAWA BARAT,3273,KOTA BANDUNG,KURANG,71.5,POIN,2023,2024
49,32,JAWA BARAT,3274,KOTA CIREBON,BAIK,67.07,POIN,2023,2024
50,32,JAWA BARAT,3275,KOTA BEKASI,SANGAT BAIK,81.27,POIN,2023,2024
51,32,JAWA BARAT,3276,KOTA DEPOK,BAIK,77.85,POIN,2023,2024
52,32,JAWA BARAT,3277,KOTA CIMAHI,SANGAT BAIK,81.27,POIN,2023,2024
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,71.44,POIN,2023,2024
54,32,JAWA BARAT,3279,KOTA BANJAR,BAIK,65.0,POIN,2023,2024
